Código;;;Nome;;;Fornecedor;;;;Localidade;Conta;;Nº Documento;;Dependência;;;;Dt. Aquisição;;Vl. Aquisição;Vl. Deprec.;;;;;Vl. Atual;;;;Status;
09-0038 / 000012;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCOS DE MADEIRA 2,50 M;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;0,98;;;;;0,02;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000013;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCOS DE MADEIRA 2,50 M;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;0,98;;;;;0,02;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000014;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCOS DE MADEIRA 2,50 M;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;0,98;;;;;0,02;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000015;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCOS DE MADEIRA 2,50 M;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;0,98;;;;;0,02;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000016;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCOS DE MADEIRA 2,50 M;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;0,98;;;;;0,02;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000017;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCOS DE MADEIRA 2,50 M;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;0,98;;;;;0,02;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000018;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCOS DE MADEIRA 2,50 M;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;0,98;;;;;0,02;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000019;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCOS DE MADEIRA 2,50 M;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;0,98;;;;;0,02;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000020;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCOS DE MADEIRA 2,50 M;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;0,98;;;;;0,02;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000021;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCOS DE MADEIRA 2,50 M;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;0,98;;;;;0,02;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000022;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCOS DE MADEIRA 2,50 M;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;0,98;;;;;0,02;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000023;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCOS DE MADEIRA 2,50 M;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;0,98;;;;;0,02;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000024;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCOS DE MADEIRA 2,50 M;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;0,98;;;;;0,02;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000025;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCOS DE MADEIRA 2,50 M;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;0,98;;;;;0,02;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000026;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCOS DE MADEIRA 2,50 M;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;0,98;;;;;0,02;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000027;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCOS DE MADEIRA 2,50 M;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;0,98;;;;;0,02;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000028;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCOS DE MADEIRA 2,50 M;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;0,98;;;;;0,02;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000029;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCOS DE MADEIRA 2,50 M;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;0,98;;;;;0,02;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000030;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCOS DE MADEIRA 2,50 M;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;0,98;;;;;0,02;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000031;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCOS DE MADEIRA 2,50 M;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;0,98;;;;;0,02;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000032;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO GENUFLEXORIO 2,50 M;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000033;;;17 - CAIXA DE SOM CAIXA DE SOM MASTER;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000034;;;17 - CAIXA DE SOM CAIXA DE SOM MASTER;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000035;;;14 - VENTILADOR VENTILADOR DE PAREDE DELTA PREMIUM;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000036;;;14 - VENTILADOR VENTILADOR DE PAREDE DELTA PREMIUM;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000037;;;14 - VENTILADOR VENTILADOR DE PAREDE VENTISILVA;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000039;;;58 - ESTANTES MUSICAIS - PARTITURAS / QUADRO MUSICAL LOTE COM 25 ESTANTES MUSICAL DE MADEIRA;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;24,00;24,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000040;;;8 - ARMÁRIO ARMARIO DE MADEIRA 0,85 X 0,50 X 1,05 M;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000041;;;16 - PAINEL DE CONTROLE DE SOM PAINEL DE CONTROLE DE SOM;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Depreciado;
